smiles,mw,n_source_occurrences,ring_count,n_heavy
*c1cnc2ccccn12,117.13,1,2,9
*CC/C(N)=N/S(N)(=O)=O,150.18,1,0,9
*n1cc(F)c(=O)[nH]c1=O,129.07,1,1,9
*[C@@H](CC(C)C)C(=O)O,115.15,1,0,8
*c1ccc(/C=N/N2CC(=O)[N-]C2=O)o1,191.15,1,2,14
*c1cnoc1C,82.08,1,1,6
*CCCCC(=O)[O-],100.12,1,0,7
*n1cc(/C=C/Br)c(=O)[nH]c1=O,216.01,1,1,11
*SP(=O)(O)O,113.05,1,0,5
*CCCN,58.1,1,0,4
*[C@H]1Oc2cc(O)cc(O)c2C[C@@H]1O,181.17,1,2,13
*C(Cl)Cl,83.93,1,0,3
*C(=O)C(C)(C)CC,99.15,1,0,7
*c1cnc(C)cn1,93.11,1,1,7
*c1nccc(=O)[nH]1,95.08,1,1,7
*C1CN=C(N)O1,85.09,1,1,6
*c1nc(F)cnc1O,113.07,1,1,8
*C[C@H](O)CC(=O)[O-],102.09,1,0,7
*c1nnc(C)s1,99.14,1,1,6
*N1C(=O)NC(C)(C)C1=O,127.12,1,1,9
*[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,129.13,1,2,9
*O[N+](=O)[O-],62.0,1,0,4
*C(=O)C(C)S,89.14,1,0,5
*SC(P(=O)(O)O)P(=O)(O)O,207.06,1,0,10
*S(=O)(=O)c1ccc(F)cc1,159.16,1,1,10
*N1CC=CC1,68.1,1,1,5
*c1ccc(Cl)s1,117.58,1,1,6
*N1CCOCC1=O,100.1,1,1,7
*c1cccc(Cl)c1F,129.54,1,1,8
*[C@H](CO)C(C)C,87.14,1,0,6
*c1cc(C)cc(=O)n1O,124.12,1,1,9
*CCCCCCCCCCCC,169.33,1,0,12
